,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
445,9368,4658,49.23%,3082,Kenneth Gucker,Democratic Party,State Representative 138,138,31,November 2018 State Election,11/06/2018
446,9369,4395,46.45%,3082,Michael S Ferguson,Republican Party,State Representative 138,138,31,November 2018 State Election,11/06/2018
447,9731,168,1.78%,3082,Kenneth Gucker,Working Families Party,State Representative 138,138,31,November 2018 State Election,11/06/2018
448,9941,240,2.54%,3082,Michael S Ferguson,Independent Party,State Representative 138,138,31,November 2018 State Election,11/06/2018
