,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
1007,8893,1811,49.88%,3382,Suzanne Woodward,Democratic Party,Registrar of Voters,0,31,November 2018 State Election,11/06/2018
1008,8894,1820,50.12%,3382,Heather Paquette,Republican Party,Registrar of Voters,0,31,November 2018 State Election,11/06/2018
