,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
594,9166,3572,54.66%,3144,Christine Conley,Democratic Party,State Representative 40,40,31,November 2018 State Election,11/06/2018
595,9167,2557,39.13%,3144,John F Scott,Republican Party,State Representative 40,40,31,November 2018 State Election,11/06/2018
596,9728,243,3.72%,3144,Christine Conley,Working Families Party,State Representative 40,40,31,November 2018 State Election,11/06/2018
597,9821,163,2.49%,3144,John F Scott,Independent Party,State Representative 40,40,31,November 2018 State Election,11/06/2018
