,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
616,9179,3422,60.99%,3150,Emmett D Riley,Democratic Party,State Representative 46,46,31,November 2018 State Election,11/06/2018
617,9180,1846,32.90%,3150,Andrew Lockwood,Republican Party,State Representative 46,46,31,November 2018 State Election,11/06/2018
618,9749,199,3.55%,3150,Emmett D Riley,Working Families Party,State Representative 46,46,31,November 2018 State Election,11/06/2018
619,9862,144,2.57%,3150,Andrew Lockwood,Independent Party,State Representative 46,46,31,November 2018 State Election,11/06/2018
