,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
105,9012,18805,43.34%,2935,Monica Tujak Brill,Democratic Party,State Senator 21,21,31,November 2018 State Election,11/06/2018
106,9013,24589,56.66%,2935,Kevin C Kelly,Republican Party,State Senator 21,21,31,November 2018 State Election,11/06/2018
