,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
808,9544,357,21.10%,3270,Julia Motte Dennis,Petitioning Candidate,NonPartisan Board of Education,0,31,November 2018 State Election,11/06/2018
809,9545,382,22.58%,3270,Adam P. Salina,Petitioning Candidate,NonPartisan Board of Education,0,31,November 2018 State Election,11/06/2018
810,9546,137,8.10%,3270,Brian DeLude,Petitioning Candidate,NonPartisan Board of Education,0,31,November 2018 State Election,11/06/2018
811,9547,352,20.80%,3270,Tracy Sisti,Petitioning Candidate,NonPartisan Board of Education,0,31,November 2018 State Election,11/06/2018
812,9548,211,12.47%,3270,Lynn Dymczyk,Petitioning Candidate,NonPartisan Board of Education,0,31,November 2018 State Election,11/06/2018
813,9550,253,14.95%,3270,Gary R. Brochu,Petitioning Candidate,NonPartisan Board of Education,0,31,November 2018 State Election,11/06/2018
