,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
584,9160,5244,46.73%,3141,Hugh McKenney,Democratic Party,State Representative 37,37,31,November 2018 State Election,11/06/2018
585,9161,5473,48.77%,3141,Holly H Cheeseman,Republican Party,State Representative 37,37,31,November 2018 State Election,11/06/2018
586,9819,293,2.61%,3141,Holly H Cheeseman,Independent Party,State Representative 37,37,31,November 2018 State Election,11/06/2018
587,9929,212,1.89%,3141,Hugh McKenney,Working Families Party,State Representative 37,37,31,November 2018 State Election,11/06/2018
