,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
35,10044,13,0.00%,2914,John Pistone,Write In,Representative in Congress 05,5,31,November 2018 State Election,11/06/2018
36,9553,142901,52.80%,2914,Jahana Hayes,Democratic Party,Representative in Congress 05,5,31,November 2018 State Election,11/06/2018
37,9663,115146,42.54%,2914,Manny Santos,Republican Party,Representative in Congress 05,5,31,November 2018 State Election,11/06/2018
38,9680,4280,1.58%,2914,Manny Santos,Independent Party,Representative in Congress 05,5,31,November 2018 State Election,11/06/2018
39,9771,8324,3.08%,2914,Jahana Hayes,Working Families Party,Representative in Congress 05,5,31,November 2018 State Election,11/06/2018
