,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
838,9905,3850,39.60%,3293,Gina L Cekala,Petitioning Candidate,Judge of Probate to Fill Vacancy 11,11,31,November 2018 State Election,11/06/2018
839,9906,5873,60.40%,3293,Carolyn McCaffrey,Petitioning Candidate,Judge of Probate to Fill Vacancy 11,11,31,November 2018 State Election,11/06/2018
