,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
85,9001,23099,54.58%,2930,Rob Sampson,Republican Party,State Senator 16,16,31,November 2018 State Election,11/06/2018
86,9554,17162,40.55%,2930,Vickie Orsini Nardello,Democratic Party,State Senator 16,16,31,November 2018 State Election,11/06/2018
87,9681,889,2.10%,2930,Rob Sampson,Independent Party,State Senator 16,16,31,November 2018 State Election,11/06/2018
88,9717,1170,2.76%,2930,Vickie Orsini Nardello,Working Families Party,State Senator 16,16,31,November 2018 State Election,11/06/2018
