,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
432,9362,6449,52.82%,3078,Anne Hughes,Democratic Party,State Representative 135,135,31,November 2018 State Election,11/06/2018
433,9363,5393,44.17%,3078,Adam Dunsby,Republican Party,State Representative 135,135,31,November 2018 State Election,11/06/2018
434,9748,66,0.54%,3078,Michael Pitassi,Green Party,State Representative 135,135,31,November 2018 State Election,11/06/2018
435,9849,183,1.50%,3078,Adam Dunsby,Independent Party,State Representative 135,135,31,November 2018 State Election,11/06/2018
436,9919,118,0.97%,3078,Anne Hughes,Working Families Party,State Representative 135,135,31,November 2018 State Election,11/06/2018
