,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
1009,10035,1937,49.92%,3383,Kristi L Sogofsky,Republican Party,Selectman,0,31,November 2018 State Election,11/06/2018
1010,10036,1758,45.31%,3383,Ira Kaplan,Democratic Party,Selectman,0,31,November 2018 State Election,11/06/2018
1011,9946,185,4.77%,3383,Anne Manusky,Petitioning Candidate,Selectman,0,31,November 2018 State Election,11/06/2018
