,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
322,9280,5033,55.86%,3035,Quentin W Phipps,Democratic Party,State Representative 100,100,31,November 2018 State Election,11/06/2018
323,9667,3534,39.22%,3035,Anthony Gennaro,Republican Party,State Representative 100,100,31,November 2018 State Election,11/06/2018
324,9729,443,4.92%,3035,Quentin W Phipps,Working Families Party,State Representative 100,100,31,November 2018 State Election,11/06/2018
