,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
46,8974,22303,52.00%,2918,Steve Cassano,Democratic Party,State Senator 04,4,31,November 2018 State Election,11/06/2018
47,8975,18612,43.40%,2918,Mark Tweedie,Republican Party,State Senator 04,4,31,November 2018 State Election,11/06/2018
48,9764,954,2.22%,2918,Steve Cassano,Working Families Party,State Senator 04,4,31,November 2018 State Election,11/06/2018
49,9795,1020,2.38%,2918,Mark Tweedie,Independent Party,State Senator 04,4,31,November 2018 State Election,11/06/2018
