,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
632,9188,4110,49.49%,3155,Ricky L Hayes,Republican Party,State Representative 51,51,31,November 2018 State Election,11/06/2018
633,9189,3577,43.07%,3155,Larry Groh Jr,Democratic Party,State Representative 51,51,31,November 2018 State Election,11/06/2018
634,9960,300,3.61%,3155,Larry Groh Jr,Working Families Party,State Representative 51,51,31,November 2018 State Election,11/06/2018
635,9964,318,3.83%,3155,Ricky L Hayes,Independent Party,State Representative 51,51,31,November 2018 State Election,11/06/2018
