,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
686,9217,5172,41.22%,3170,Alex Larsson,Democratic Party,State Representative 66,66,31,November 2018 State Election,11/06/2018
687,9218,6900,54.99%,3170,David T Wilson,Republican Party,State Representative 66,66,31,November 2018 State Election,11/06/2018
688,9883,253,2.02%,3170,David T Wilson,Independent Party,State Representative 66,66,31,November 2018 State Election,11/06/2018
689,9884,222,1.77%,3170,Alex Larsson,Working Families Party,State Representative 66,66,31,November 2018 State Election,11/06/2018
