,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
650,9197,4846,54.11%,3160,Michael Winkler,Democratic Party,State Representative 56,56,31,November 2018 State Election,11/06/2018
651,9198,3602,40.22%,3160,Laura B Bush,Republican Party,State Representative 56,56,31,November 2018 State Election,11/06/2018
652,9702,304,3.39%,3160,Michael Winkler,Working Families Party,State Representative 56,56,31,November 2018 State Election,11/06/2018
653,9828,204,2.28%,3160,Laura B Bush,Independent Party,State Representative 56,56,31,November 2018 State Election,11/06/2018
