,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
117,9021,23629,61.05%,2939,Bob Duff,Democratic Party,State Senator 25,25,31,November 2018 State Election,11/06/2018
118,9022,13627,35.21%,2939,Marc D'Amelio,Republican Party,State Senator 25,25,31,November 2018 State Election,11/06/2018
119,9805,634,1.64%,2939,Marc D'Amelio,Independent Party,State Senator 25,25,31,November 2018 State Election,11/06/2018
120,9870,815,2.11%,2939,Bob Duff,Working Families Party,State Senator 25,25,31,November 2018 State Election,11/06/2018
