,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
572,9153,5183,45.41%,3138,Theresa Govert,Democratic Party,State Representative 34,34,31,November 2018 State Election,11/06/2018
573,9154,5631,49.33%,3138,Irene Haines,Republican Party,State Representative 34,34,31,November 2018 State Election,11/06/2018
574,9816,305,2.67%,3138,Irene Haines,Independent Party,State Representative 34,34,31,November 2018 State Election,11/06/2018
575,9876,295,2.58%,3138,Theresa Govert,Working Families Party,State Representative 34,34,31,November 2018 State Election,11/06/2018
