,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
931,10000,974,16.02%,3332,Edgar M Hawkins III,,Non Partisan Representative Town Meeting District VI,0,31,November 2018 State Election,11/06/2018
932,10001,1048,17.23%,3332,Susan R Lauritzen,,Non Partisan Representative Town Meeting District VI,0,31,November 2018 State Election,11/06/2018
933,10002,981,16.13%,3332,Richard Poli,,Non Partisan Representative Town Meeting District VI,0,31,November 2018 State Election,11/06/2018
934,10003,1049,17.25%,3332,Robert A Werner,,Non Partisan Representative Town Meeting District VI,0,31,November 2018 State Election,11/06/2018
935,9998,1042,17.14%,3332,Frank H Adelman,,Non Partisan Representative Town Meeting District VI,0,31,November 2018 State Election,11/06/2018
936,9999,987,16.23%,3332,Carlo Cantavero,,Non Partisan Representative Town Meeting District VI,0,31,November 2018 State Election,11/06/2018
