,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
79,8996,20502,47.89%,2928,James J Maroney,Democratic Party,State Senator 14,14,31,November 2018 State Election,11/06/2018
80,9665,20888,48.79%,2928,Pam Staneski,Republican Party,State Senator 14,14,31,November 2018 State Election,11/06/2018
81,9868,854,1.99%,2928,James J Maroney,Working Families Party,State Senator 14,14,31,November 2018 State Election,11/06/2018
82,9869,570,1.33%,2928,James J Maroney,Independent Party,State Senator 14,14,31,November 2018 State Election,11/06/2018
