,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
28,8960,163211,60.40%,2912,Rosa L DeLauro,Democratic Party,Representative in Congress 03,3,31,November 2018 State Election,11/06/2018
29,8961,95667,35.40%,2912,Angel Cadena,Republican Party,Representative in Congress 03,3,31,November 2018 State Election,11/06/2018
30,9770,11361,4.20%,2912,Rosa L DeLauro,Working Families Party,Representative in Congress 03,3,31,November 2018 State Election,11/06/2018
