,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
56,8980,17416,43.02%,2921,Annie Hornish,Democratic Party,State Senator 07,7,31,November 2018 State Election,11/06/2018
57,8981,21072,52.06%,2921,John A Kissel,Republican Party,State Senator 07,7,31,November 2018 State Election,11/06/2018
58,9732,1060,2.62%,2921,Annie Hornish,Working Families Party,State Senator 07,7,31,November 2018 State Election,11/06/2018
59,9796,932,2.30%,2921,John A Kissel,Independent Party,State Senator 07,7,31,November 2018 State Election,11/06/2018
