,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
388,9331,5222,49.80%,3062,Philip Young,Democratic Party,State Representative 120,120,31,November 2018 State Election,11/06/2018
389,9332,5028,47.95%,3062,Jim Feehan,Republican Party,State Representative 120,120,31,November 2018 State Election,11/06/2018
390,9844,181,1.73%,3062,Jim Feehan,Independent Party,State Representative 120,120,31,November 2018 State Election,11/06/2018
391,9925,55,0.52%,3062,Prez Palmer,Petitioning Candidate,State Representative 120,120,31,November 2018 State Election,11/06/2018
