,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
75,8994,18381,49.40%,2927,Mary Daugherty Abrams,Democratic Party,State Senator 13,13,31,November 2018 State Election,11/06/2018
76,8995,16866,45.33%,2927,Len Suzio,Republican Party,State Senator 13,13,31,November 2018 State Election,11/06/2018
77,9549,842,2.26%,2927,Len Suzio,Independent Party,State Senator 13,13,31,November 2018 State Election,11/06/2018
78,9741,1121,3.01%,2927,Mary Daugherty Abrams,Working Families Party,State Senator 13,13,31,November 2018 State Election,11/06/2018
