,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
641,9192,5508,48.98%,3157,Pat Wilson Pheanious,Democratic Party,State Representative 53,53,31,November 2018 State Election,11/06/2018
642,9193,5110,45.44%,3157,Samuel P Belsito Jr,Republican Party,State Representative 53,53,31,November 2018 State Election,11/06/2018
643,9707,368,3.27%,3157,Pat Wilson Pheanious,Working Families Party,State Representative 53,53,31,November 2018 State Election,11/06/2018
644,9937,259,2.30%,3157,Samuel P Belsito Jr,Independent Party,State Representative 53,53,31,November 2018 State Election,11/06/2018
