,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
166,10052,2196,0.16%,2953,W. Michael Downes,Write In,Treasurer,0,31,November 2018 State Election,11/06/2018
167,9567,717002,52.77%,2953,Shawn Wooden,Democratic Party,Treasurer,0,31,November 2018 State Election,11/06/2018
168,9671,569737,41.94%,2953,Thad Gray,Republican Party,Treasurer,0,31,November 2018 State Election,11/06/2018
169,9677,23074,1.70%,2953,Thad Gray,Independent Party,Treasurer,0,31,November 2018 State Election,11/06/2018
170,9734,31089,2.29%,2953,Shawn Wooden,Working Families Party,Treasurer,0,31,November 2018 State Election,11/06/2018
171,9912,15514,1.14%,2953,Jesse Brohinsky,Libertarian Party,Treasurer,0,31,November 2018 State Election,11/06/2018
