,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
580,9158,6338,49.01%,3140,Christine Palm,Democratic Party,State Representative 36,36,31,November 2018 State Election,11/06/2018
581,9159,6078,47.00%,3140,Robert Siegrist,Republican Party,State Representative 36,36,31,November 2018 State Election,11/06/2018
582,9818,282,2.18%,3140,Robert Siegrist,Independent Party,State Representative 36,36,31,November 2018 State Election,11/06/2018
583,9877,234,1.81%,3140,Christine Palm,Working Families Party,State Representative 36,36,31,November 2018 State Election,11/06/2018
