,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
535,9131,5566,43.11%,3127,Matt Pugliese,Democratic Party,State Representative 23,23,31,November 2018 State Election,11/06/2018
536,9132,6854,53.08%,3127,Devin R Carney,Republican Party,State Representative 23,23,31,November 2018 State Election,11/06/2018
537,9813,308,2.39%,3127,Devin R Carney,Independent Party,State Representative 23,23,31,November 2018 State Election,11/06/2018
538,9874,184,1.43%,3127,Matt Pugliese,Working Families Party,State Representative 23,23,31,November 2018 State Election,11/06/2018
