,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
441,9366,6076,66.60%,3081,Chris Perone,Democratic Party,State Representative 137,137,31,November 2018 State Election,11/06/2018
442,9367,2662,29.18%,3081,Frank Page,Republican Party,State Representative 137,137,31,November 2018 State Election,11/06/2018
443,9793,247,2.71%,3081,Chris Perone,Working Families Party,State Representative 137,137,31,November 2018 State Election,11/06/2018
444,9851,138,1.51%,3081,Frank Page,Independent Party,State Representative 137,137,31,November 2018 State Election,11/06/2018
