,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
548,9138,5215,47.77%,3131,Gary Turco,Democratic Party,State Representative 27,27,31,November 2018 State Election,11/06/2018
549,9139,5171,47.37%,3131,Gary Byron,Republican Party,State Representative 27,27,31,November 2018 State Election,11/06/2018
550,9778,276,2.53%,3131,Gary Turco,Working Families Party,State Representative 27,27,31,November 2018 State Election,11/06/2018
551,9814,254,2.33%,3131,Gary Byron,Independent Party,State Representative 27,27,31,November 2018 State Election,11/06/2018
