,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
132,9031,17794,52.97%,2943,Mae Flexer,Democratic Party,State Senator 29,29,31,November 2018 State Election,11/06/2018
133,9032,13706,40.80%,2943,David W Coderre,Republican Party,State Senator 29,29,31,November 2018 State Election,11/06/2018
134,9747,1121,3.34%,2943,Mae Flexer,Working Families Party,State Senator 29,29,31,November 2018 State Election,11/06/2018
135,9808,973,2.90%,2943,David W Coderre,Independent Party,State Senator 29,29,31,November 2018 State Election,11/06/2018
