,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
465,9375,5790,52.69%,3088,Lucy Dathan,Democratic Party,State Representative 142,142,31,November 2018 State Election,11/06/2018
466,9376,4797,43.65%,3088,Fred Wilms,Republican Party,State Representative 142,142,31,November 2018 State Election,11/06/2018
467,9715,203,1.85%,3088,Lucy Dathan,Working Families Party,State Representative 142,142,31,November 2018 State Election,11/06/2018
468,9852,199,1.81%,3088,Fred Wilms,Independent Party,State Representative 142,142,31,November 2018 State Election,11/06/2018
