,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
472,9377,5833,49.32%,3090,Gail Lavielle,Republican Party,State Representative 143,143,31,November 2018 State Election,11/06/2018
473,9485,5586,47.23%,3090,Stephanie Thomas,Democratic Party,State Representative 143,143,31,November 2018 State Election,11/06/2018
474,9892,261,2.21%,3090,Gail Lavielle,Independent Party,State Representative 143,143,31,November 2018 State Election,11/06/2018
475,9922,147,1.24%,3090,Stephanie Thomas,Working Families Party,State Representative 143,143,31,November 2018 State Election,11/06/2018
