,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
97,9008,19769,53.49%,2933,Catherine A Osten,Democratic Party,State Senator 19,19,31,November 2018 State Election,11/06/2018
98,9009,14817,40.09%,2933,Mark A Lounsbury,Republican Party,State Senator 19,19,31,November 2018 State Election,11/06/2018
99,9720,1620,4.38%,2933,Catherine A Osten,Working Families Party,State Senator 19,19,31,November 2018 State Election,11/06/2018
100,9801,750,2.03%,2933,Mark A Lounsbury,Independent Party,State Senator 19,19,31,November 2018 State Election,11/06/2018
