,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
588,9164,5362,48.52%,3142,Kathleen M McCarty,Republican Party,State Representative 38,38,31,November 2018 State Election,11/06/2018
589,9575,5088,46.04%,3142,Baird Welch-Collins,Democratic Party,State Representative 38,38,31,November 2018 State Election,11/06/2018
590,9590,262,2.37%,3142,Baird Welch-Collins,Green Party,State Representative 38,38,31,November 2018 State Election,11/06/2018
591,9820,339,3.07%,3142,Kathleen M McCarty,Independent Party,State Representative 38,38,31,November 2018 State Election,11/06/2018
