,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
948,10028,25778,28.46%,3344,David Mannis,Democratic Party,Board of Education,0,31,November 2018 State Election,11/06/2018
949,10029,23378,25.81%,3344,Jon Carlo Gallup,Democratic Party,Board of Education,0,31,November 2018 State Election,11/06/2018
950,10030,27904,30.81%,3344,Jackie Pioli,Democratic Party,Board of Education,0,31,November 2018 State Election,11/06/2018
951,10031,4165,4.60%,3344,Frank Cerasoli,Petitioning Candidate,Board of Education,0,31,November 2018 State Election,11/06/2018
952,10032,5842,6.45%,3344,Mike Altamura,Petitioning Candidate,Board of Education,0,31,November 2018 State Election,11/06/2018
953,10037,3499,3.86%,3344,Michael Schmidt,Green Party,Board of Education,0,31,November 2018 State Election,11/06/2018
