,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
178,9568,691496,50.73%,2955,William Tong,Democratic Party,Attorney General,0,31,November 2018 State Election,11/06/2018
179,9673,605504,44.42%,2955,Sue Hatfield,Republican Party,Attorney General,0,31,November 2018 State Election,11/06/2018
180,9679,27856,2.04%,2955,Sue Hatfield,Independent Party,Attorney General,0,31,November 2018 State Election,11/06/2018
181,9735,23844,1.75%,2955,William Tong,Working Families Party,Attorney General,0,31,November 2018 State Election,11/06/2018
182,9769,14358,1.05%,2955,Peter D Goselin,Green Party,Attorney General,0,31,November 2018 State Election,11/06/2018
