,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
922,10010,738,9.29%,3331,Richard A Aponte,,Non Partisan Representative Town Meeting District II,0,31,November 2018 State Election,11/06/2018
923,10011,743,9.35%,3331,Vincent Arguimbau,,Non Partisan Representative Town Meeting District II,0,31,November 2018 State Election,11/06/2018
924,10012,962,12.11%,3331,Elisabeth C Bacon,,Non Partisan Representative Town Meeting District II,0,31,November 2018 State Election,11/06/2018
925,10013,882,11.10%,3331,James Henry Howe,,Non Partisan Representative Town Meeting District II,0,31,November 2018 State Election,11/06/2018
926,10014,909,11.44%,3331,Cheryl Russell,,Non Partisan Representative Town Meeting District II,0,31,November 2018 State Election,11/06/2018
927,10015,917,11.54%,3331,Clara C Sartori,,Non Partisan Representative Town Meeting District II,0,31,November 2018 State Election,11/06/2018
928,10016,977,12.30%,3331,Barbara L Thorne,,Non Partisan Representative Town Meeting District II,0,31,November 2018 State Election,11/06/2018
929,10017,929,11.69%,3331,Michael C Wheeler,,Non Partisan Representative Town Meeting District II,0,31,November 2018 State Election,11/06/2018
930,10018,889,11.19%,3331,Penelope Wilson,,Non Partisan Representative Town Meeting District II,0,31,November 2018 State Election,11/06/2018
