,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
124,9025,22161,64.79%,2941,Carlo Leone,Democratic Party,State Senator 27,27,31,November 2018 State Election,11/06/2018
125,9026,11101,32.46%,2941,Jerry Bosak,Republican Party,State Senator 27,27,31,November 2018 State Election,11/06/2018
126,9027,392,1.15%,2941,Cora M Santaguida,Green Party,State Senator 27,27,31,November 2018 State Election,11/06/2018
127,9806,548,1.60%,2941,Jerry Bosak,Independent Party,State Senator 27,27,31,November 2018 State Election,11/06/2018
