,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
411,9346,3965,73.13%,3070,John (Jack) F Hennessy,Democratic Party,State Representative 127,127,31,November 2018 State Election,11/06/2018
412,9347,1341,24.73%,3070,Peter Perillo,Republican Party,State Representative 127,127,31,November 2018 State Election,11/06/2018
413,9791,116,2.14%,3070,John (Jack) F Hennessy,Working Families Party,State Representative 127,127,31,November 2018 State Election,11/06/2018
