,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
405,9079,5245,50.57%,3068,Raghib Allie-Brennan,Democratic Party,State Representative 02,2,31,November 2018 State Election,11/06/2018
406,9082,4623,44.57%,3068,William Duff,Republican Party,State Representative 02,2,31,November 2018 State Election,11/06/2018
407,9775,264,2.55%,3068,Raghib Allie-Brennan,Working Families Party,State Representative 02,2,31,November 2018 State Election,11/06/2018
408,9810,240,2.31%,3068,William Duff,Independent Party,State Representative 02,2,31,November 2018 State Election,11/06/2018
