,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
375,9323,3643,71.60%,3058,Michael A Dimassa,Democratic Party,State Representative 116,116,31,November 2018 State Election,11/06/2018
376,9668,1299,25.53%,3058,Richard D DePalma,Republican Party,State Representative 116,116,31,November 2018 State Election,11/06/2018
377,9789,146,2.87%,3058,Michael A Dimassa,Working Families Party,State Representative 116,116,31,November 2018 State Election,11/06/2018
