,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
155,10033,643,1.46%,2950,L Scott Frantz,Independent Party,State Senator 36,36,31,November 2018 State Election,11/06/2018
156,9028,238,0.54%,2950,Megan E Cassano,Green Party,State Senator 36,36,31,November 2018 State Election,11/06/2018
157,9046,22261,50.43%,2950,"Alexandra ""Alex"" Bergstein",Democratic Party,State Senator 36,36,31,November 2018 State Election,11/06/2018
158,9047,21002,47.58%,2950,L Scott Frantz,Republican Party,State Senator 36,36,31,November 2018 State Election,11/06/2018
