,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
15,10059,3190,43.61%,3416,Rick Lopes,Democratic Party,State Senator to Fill a Vacancy 6,6,35,"Special Election 3rd,5th &6th Senatorial - 39th & 99th Assembly Districts",02/26/2019
16,10060,241,3.29%,3416,Rick Lopes,Working Families Party,State Senator to Fill a Vacancy 6,6,35,"Special Election 3rd,5th &6th Senatorial - 39th & 99th Assembly Districts",02/26/2019
17,10061,3884,53.10%,3416,Gennaro Bizzarro,Republican Party,State Senator to Fill a Vacancy 6,6,35,"Special Election 3rd,5th &6th Senatorial - 39th & 99th Assembly Districts",02/26/2019
