,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
0,10067,1324,43.18%,3412,Josh Balter,Democratic Party,State Representative to Fill a Vacancy 99,99,35,"Special Election 3rd,5th &6th Senatorial - 39th & 99th Assembly Districts",02/26/2019
1,10068,84,2.74%,3412,Josh Balter,Working Families Party,State Representative to Fill a Vacancy 99,99,35,"Special Election 3rd,5th &6th Senatorial - 39th & 99th Assembly Districts",02/26/2019
2,10069,1577,51.44%,3412,Joseph Zullo,Republican Party,State Representative to Fill a Vacancy 99,99,35,"Special Election 3rd,5th &6th Senatorial - 39th & 99th Assembly Districts",02/26/2019
3,10070,81,2.64%,3412,Joseph Zullo,Independent Party,State Representative to Fill a Vacancy 99,99,35,"Special Election 3rd,5th &6th Senatorial - 39th & 99th Assembly Districts",02/26/2019
